what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271146855404
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271146855611
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271146855963
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271146856363
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271146867643
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271146874409
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271146937400
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271146994551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271147193563
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271147193615
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271147200534
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271147203848
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271147209378
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1271147216527
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271147218521
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1271147218559
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271147219413
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271147229899
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271147231688
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1271147231784
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1271147231830
